[2026-01-11 12:44:11] [INFO    ] discord.client: logging in using static token
[2026-01-11 12:44:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-11 12:44:11] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-11 12:44:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1458862936368877722', 'username': 'Bison', 'avatar': '7ac9b0d5a05cdee76cdf710ad6bdd4d4', 'discriminator': '0332', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-11 12:44:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-11 12:44:12] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-11 12:44:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1458862936368877722', 'name': 'Bison', 'icon': '77bc5f71ec3c046f84e2d9641d6b9e47', 'description': '', 'type': None, 'bot': {'id': '1458862936368877722', 'username': 'Bison', 'avatar': '7ac9b0d5a05cdee76cdf710ad6bdd4d4', 'discriminator': '0332', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6e006a44364e93b42ae27bcccc158df971740e1633ab2a5aefa9037f2c1c34d2', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '741944143844081686', 'username': 'seeker747', 'avatar': 'bbcf3b4897abbb2d84db66cbda137452', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'a_238a12444816eeaff45bc265f3032015', 'accent_color': 12907519, 'global_name': 'seeker747', 'avatar_decoration_data': {'asset': 'a_8384f035d67eb209be18aaadf191f25e', 'sku_id': '1440174638930853951', 'expires_at': 1768507200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#c4f3ff', 'clan': {'identity_guild_id': '1455625040296153302', 'identity_enabled': True, 'tag': 'PBSN', 'badge': '0f3957dc62773e4a35401f87ed20e4ad'}, 'primary_guild': {'identity_guild_id': '1455625040296153302', 'identity_enabled': True, 'tag': 'PBSN', 'badge': '0f3957dc62773e4a35401f87ed20e4ad'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-11 12:44:12] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1458862936368877722/guilds/1318926273829142550/commands with [{"name":"hello","description":"Responds with a greeting","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"socials","description":"Get social links","type":1,"options":[{"type":3,"name":"platform","description":"\u2026","required":false,"choices":[{"name":"Instagram","value":"instagram"},{"name":"Twitter","value":"twitter"},{"name":"Tiktok","value":"tiktok"},{"name":"Youtube","value":"youtube"},{"name":"Spotify","value":"spotify"},{"name":"Apple_music","value":"apple_music"}]}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-01-11 12:44:12] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-01-11 12:44:12] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1458862936368877722/guilds/1318926273829142550/commands has received [{'id': '1459859235952132353', 'application_id': '1458862936368877722', 'version': '1459859235952132354', 'default_member_permissions': None, 'type': 1, 'name': 'hello', 'name_localizations': None, 'description': 'Responds with a greeting', 'description_localizations': None, 'guild_id': '1318926273829142550', 'nsfw': False}, {'id': '1459864948359565433', 'application_id': '1458862936368877722', 'version': '1459867511821434973', 'default_member_permissions': None, 'type': 1, 'name': 'socials', 'name_localizations': None, 'description': 'Get social links', 'description_localizations': None, 'guild_id': '1318926273829142550', 'options': [{'type': 3, 'name': 'platform', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'choices': [{'name': 'Instagram', 'name_localizations': None, 'value': 'instagram'}, {'name': 'Twitter', 'name_localizations': None, 'value': 'twitter'}, {'name': 'Tiktok', 'name_localizations': None, 'value': 'tiktok'}, {'name': 'Youtube', 'name_localizations': None, 'value': 'youtube'}, {'name': 'Spotify', 'name_localizations': None, 'value': 'spotify'}, {'name': 'Apple_music', 'name_localizations': None, 'value': 'apple_music'}]}], 'nsfw': False}]
[2026-01-11 12:44:12] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
